joint_outcome,index,bundle_id,true_option_char,hit_count,input_str,target_str,primary_tag,secondary_tags,gt_plausibility,distractor_hardness,evidence,primary_rule_tag,prediction_base,hit_base,prediction_co_occur,hit_co_occur,prediction_user_prefer,hit_user_prefer
all_hit,108,26698,J,3,1. 林珊珊2019春季新款女装法式赫本中长款气质针织拼接网纱连衣裙子; 2. 整皮毛一体水貂毛毛鞋字母金属加绒乐福鞋棉瓢鞋懒人网红白色女鞋,A. 原创森女部落小清新牛仔外套宽松学生韩版bf2019新款秋秋学院风系; B. 正品名牌手表女机械表全自动潮流女款时尚带钻红色真皮带女士手表; C. 非谜平底凉鞋女夏2018新款时尚百搭一字扣带珍珠平跟夹脚凉鞋; D. 阿曼苏粉色羊绒衫女套头秋冬新款圆领打底衫毛衣宽松显瘦A7Q15014; E. 子晴网红毛衣裙2019春装新款宽松网纱裙很仙的法国小众网纱连衣裙; F. 罗马夹趾凉鞋女夏2018新款女平底韩版学生沙滩珍珠平跟夹脚凉鞋女; G. 皮毛一体外套女公子2019新款短款加厚长袖宽松学生气质春夹克上衣; H. 黑色晚礼服2019新款春夏一字肩宴会小礼服短款女生日派对连衣裙子; I. 网纱波点裙+小狗印花吊带连衣裙两件套; J. AI 法式复古贝雷帽 羊毛含量高达90% 秋冬女画家帽毛呢南瓜帽子,style_theme_match,"[""category_completion""]",4.0,2.0,The input outfit features a French-style Hepburn dress and fur-lined loafers; the beret reinforces the 'French vintage' aesthetic established by the dress.,cooccurrence_shortcut,J,1,J,1,J,1
all_hit,119,5664,F,3,1. 欧洲风格站2018秋冬新款女鞋牛皮灯芯绒刺绣平底单鞋小皮鞋洋气款; 2. 朴正义2018秋季新款韩版黑色chic港味一步裙中长款显瘦半身裙子女,A. NOTHOMME日系潮牌宽松版压胶拉链装饰套头卫衣男款花灰色ifashion; B. 茵曼女装新款连衣裙夏小清新条纹假两件背带裙女中长裙修身裙子; C. casio旗舰店SHS-4521防水女士太阳能手表卡西欧官网sheen官方正品; D. 手表女韩版简约气质方形款休闲大气运动网红时尚潮流女士防水女表; E. 春季单靴中筒靴春秋百搭粗跟半筒瘦瘦靴尖头高跟中靴弹力短靴子女; F. ins网红贝雷帽女春秋韩版日系百搭画家帽黑色英伦八角帽女帽子夏; G. 雪地靴女羊皮毛一体2018新款冬季中筒靴子平底真皮保暖学生棉鞋冬; H. 对白2018秋冬新款 字母绣花半高领T恤女 休闲棉质长袖直筒打底衫; I. 宿本法式复古裙过膝2019春秋新款蕾丝chic温柔仙女裙高腰连衣裙女; J. 九月陌墨 2019夏季新款女装印花半袖T恤女 韩版休闲宽松体恤,style_theme_match,"[""category_completion""]",4.0,2.0,"The input outfit features a European-style leather shoe and a chic, Hong Kong-style skirt; the beret (ground truth) reinforces the 'chic' and 'ins-style' aesthetic better than the other candidates.",popularity_shortcut,F,1,F,1,F,1
all_fail,1,21401,H,0,1. 正品冠琴手表男士超薄真皮带男表 非机械表时尚防水石英表潮流; 2. 沙滩帽女巴拿马草帽遮阳帽夏小清新海边海滩帽太阳帽度假防晒帽子,A. 热风2018夏新款小清新女士软木拖鞋外穿平底休闲一字拖潮H60W8207; B. 韩都衣舍2018女装韩版夏装新款显瘦牛仔裙短裙A字半身裙IG6888僥; C. 初语春秋新款圆领宽松百搭质感条纹长袖T恤女大码打底衫上衣; D. 【限时特卖】CASSILE牛皮时尚百搭信封链条包钻扣单肩斜挎包; E. 韩版休闲短裤女式2019夏装新款百搭修身学生卷边运动直筒裤子原宿; F. 子晴拼色中长款双面尼羊毛大衣女冬装2018新款两面穿毛呢外套; G. 希野2019夏季新款露背吊带荷叶边百褶chic超仙少女裙收腰连衣裙; H. 【11.11零点6折清仓】衣品乐大码中长款针织拼接棉麻印花连衣裙; I. 金米欧Kimio时尚潮流防水女士手表学生简约学院风大气腕表石英表; J. 闺格原创蓝白竖条纹衬衫女2018新款长袖春装宽松韩范圆领系带上衣,style_theme_match,"[""category_completion""]",3.0,3.0,"The input combines a men's watch and a women's beach hat, creating a disjointed set; the ground truth is a casual, loose-fitting dress that attempts to bridge a relaxed, vacation-ready aesthetic, though the overall bundle remains stylistically inconsistent.",weak_or_no_rule_signal,D,0,D,0,D,0
all_fail,19,2765,F,0,1. 女装夏装2018新款镂空蕾丝连衣裙女夏季不规则温柔仙女裙收腰裙子; 2. 唐嫣同款Givenchy/纪梵希单钻项链女锁骨链首饰品百搭玫瑰金,A. 靴子女2018秋冬新款金属链guidi短靴真皮平底网红同款切西尔靴; B. 高筒靴女2019新款欧美时尚网红长靴子前拉链方头粗跟高跟马丁靴潮; C. 于momo2018兔耳朵设计款围巾式阿尔巴卡羊毛双面呢大衣女; D. 百搭瘦瘦靴平底小短靴女2018秋冬季新款粗跟马丁靴子加绒棉鞋女鞋; E. 英国Daisy London手工雏菊925银耳钉女 10mm镀金菊花耳环饰品礼物; F. 七亚水立方999纯银手镯女学生韩版手环2017新款足银饰品森系镯子; G. 复古v领雪纺三件套汉服改良连衣裙碎花仙女裙2019新款女装春装; H. 罗家RMOJUL 半开领荷叶边波点雪纺连衣裙 少腰带 介意勿拍SPJ; I. S925镀18K玫瑰彩金锁骨链简约时尚生日礼物四叶草项链女吊坠ins; J. 青蔷薇2019夏季打底衫短袖条纹上衣学生海魂衫宽松休闲圆领T恤女,style_theme_match,"[""category_completion""]",3.0,3.0,"The input outfit features a delicate, fairy-like lace dress and a feminine necklace; the ground-truth silver bracelet complements this 'fairy/森系' aesthetic, whereas other candidates are either seasonal mismatches or stylistic clashes.",weak_or_no_rule_signal,E,0,E,0,E,0
all_fail,27,2115,D,0,1. 阁楼花开秋冬蕾丝连衣裙韩版学生黑色甜美中长款拼接长袖打底衫女; 2. 沙滩帽女巴拿马草帽遮阳帽夏小清新海边海滩帽太阳帽度假防晒帽子,A. nini 微微收腰款炒鸡时髦气质碎花长裙内搭长袖雪纺连衣裙女秋冬; B. 月光石耳钉 天然蓝月光耳饰品 迷你猫爪 小耳钉 925纯银简约饰品; C. MG小象格子收腰连衣裙女秋新款中长款学院风长袖小清新拼接裙子潮; D. honeyGIRL春季真皮女鞋方扣小皮鞋踩脚懒人鞋子平底单鞋女乐福鞋; E. 勿上热风2018年女士休闲单鞋圆头小皮鞋女学院风平底鞋H20W8501; F. 秋冬韩版百搭贝雷帽日系甜美可爱白色画家帽英伦复古羊毛帽子女春; G. 周大力二棉鞋女学生韩版百搭2018新款加绒板鞋秋冬女鞋冬季小白鞋; H. COTRE 独立设计 格子橘 复古大裙摆羊毛呢料连衣裙长袖显瘦冬2017; I. Armani阿玛尼满天星皮带镶钻手表 时尚女士饰品礼盒套装AR80011; J. FURNA花纳 复古工装风绑带显瘦环保皮衣外套夹克 口袋猎装外套 女,category_completion,"[""style_theme_match""]",3.0,3.0,"The input consists of a dress and a hat; the ground-truth item (loafers) completes the outfit by adding footwear, which is a functional gap, while maintaining a casual/student aesthetic.",weak_or_no_rule_signal,B,0,F,0,F,0
all_fail,31,8966,J,0,1. Danielwellington 丹尼尔惠灵顿dw手表女32mm金属编织女表; 2. 韩国露娜网红仿珍珠耳环 女式气质长款耳坠新款ins耳钉韩版耳饰品,A. 帽子女夏天遮阳帽韩版百搭防紫外线遮脸户外渔夫帽太阳出游防晒帽; B. ALCLOSET 定制高腰弹力鱼尾裙荷叶边包臀半身裙春夏新款; C. 2018春装新款韩版连帽针织衫宽松毛衣女假两件长袖罩衫上衣红色潮; D. 貉子毛慵懒宽松气质高领外穿毛衣女冬季百搭羊毛加厚套头外套; E. 月老家 街头潮牌嘻哈黑白撞色拼接宽松长袖牛仔外套女秋2019春款; F. 小黑包女春季网红菱形小香风菱格链条女包包2019新款时尚百搭个性; G. MG小象蕾丝衬衫女长袖秋季2018新款灯笼袖chic小清新上衣港味衬衣; H. 豹纹加绒两面穿仿羊羔毛外套女宽松加厚夹克大衣短款冬季2018新款; I. 韩都衣舍2018新款女装春装韩版显瘦蕾丝拼接荷叶边连衣裙RW7633瑒; J. 俏皮可爱女孩印花荷叶摆显瘦条纹连衣裙,style_theme_match,"[""category_completion""]",3.0,3.0,"The input items (DW watch and pearl earrings) suggest a feminine, elegant, and polished aesthetic. The ground-truth dress aligns with this 'cute/feminine' style, whereas many distractors are casual, streetwear, or winter-specific items that clash with the refined accessories.",weak_or_no_rule_signal,F,0,F,0,F,0
all_fail,120,23986,F,0,1. TAKIYA 夏装2017新款 凉快又好穿松紧腰纯色光板A字短裤女; 2. 勿上热风秋季学院风甜美女士系带休闲透气鞋圆头小白鞋H14W8501,A. Lion~消失的爱人 丝绒感起绒拉毛纯羊毛呢平顶直筒宽檐礼帽黑色; B. 函夏 2018年新款包包女 粉色真皮单肩半圆马鞍包 宽肩带斜挎; C. 法式复古气质长裙维多利亚桔梗法国山本女春秋过膝衬衣衬衫连衣裙; D. 超好看！~ 2019早春新款尖头珍珠高跟鞋女包头细跟性感名媛凉鞋女; E. MG小象灯芯绒加厚棉服女2018新款冬季外套中长款粉色修身女士棉衣; F. 全新配色GRKC恐龙龙骨T恤JONY J男女同款宽松情侣国潮短袖bf风; G. 古伊萱2019春季新款潮女式粉色珍珠花朵菱格纹单肩斜挎ins包包; H. Franco Sarto 春夏新款舒适平底凉鞋绕带绑带凉鞋C0432; I. 哈森春季女鞋韩版百搭休闲鞋女 平跟单鞋 小蜜蜂小白鞋女HS78202; J. 韩都衣舍2019春装新款女装韩版宽松假两件毛衣针织衫ONH8107煜,style_theme_match,"[""category_completion""]",3.0,3.0,"The input outfit consists of casual shorts and white sneakers, establishing a casual, youthful aesthetic. The ground-truth T-shirt (GRKC brand, BF style) aligns with this casual, street-style theme, whereas other candidates are either formal, seasonal mismatches, or different accessory categories.",weak_or_no_rule_signal,B,0,G,0,C,0
all_fail,227,20033,D,0,1. 2018春季新款女包韩国ulzzang小方包休闲斜挎包潮复古单肩包小包; 2. 热风春新款小清新小白鞋女平底原宿鞋系带时尚女休闲鞋潮H14W7110,A. BOCCALOOK定制 秋冬网红过膝毛衣女套头慵懒风宽松高领连衣裙长款; B. 浅色牛仔裤女宽松2019春季新款韩版高腰阔腿长裤学生显瘦直筒裤子; C. GGhouse郭郭定制 网纱吊带连衣裙女中长款春秋韩版百搭显瘦打底裙; D. 翅膀镶锆石银耳针耳钉女简约气质个性长款耳坠吊坠耳环耳饰配饰品; E. the parking ginza日本藤原浩托特帆布包包女单肩斜挎手提旅行包; F. 范思蓝恩不规则裙子女夏季牛仔高腰半身裙韩版撞色拼接a字裙短裙; G. 牛仔裤女士拉夏贝尔2018秋冬季新款修身显瘦毛边铅笔裤百搭长裤子; H. 赵款款 遇见必收 高腰黑灰色牛仔铅笔裤秋冬修身九分裤女小脚裤; I. S家原创女装冬季欧美街头裙子条纹撞色拼接针织半身裙潮; J. 纯羊毛呢帽子女秋冬复古英伦小礼帽韩版百搭日系盆帽荷叶边渔夫帽,category_completion,"[""style_theme_match""]",3.0,3.0,"The input consists of a bag and shoes, leaving a functional gap for accessories; the ground-truth earrings complete the outfit while matching the 'ulzzang' and 'casual' aesthetic.",weak_or_no_rule_signal,B,0,B,0,B,0
all_fail,235,12443,H,0,1. 淑女名媛春款连衣裙女2019新款气质丝绒长袖a字裙小个子穿搭裙子; 2. 过膝长靴女显瘦防水台高跟粗跟长筒靴磨砂高筒长靴子冬季加绒女鞋,A. VH包包女式斜挎包欧美时尚潮流梯形手拎包简约百搭休闲森系单肩包; B. 小手提包女包中国风迷你手提包包民族风手提包文艺帆布女小手提包; C. 鹿笙|玫瑰的书信D069夏季新款吊带连衣裙女蕾丝打底裙中长款裙子; D. 韩都衣舍2018新款女装秋装韩版连帽系带印花长袖连衣裙DU8145樱; E. Nine West/玖熙冬季牛皮高筒长靴女弹力拼接长筒靴骑士靴; F. ins超火卫衣女套头2019春秋新款韩版宽松连帽百搭纯色cec外套薄款; G. 靴子女2018新款秋冬chic马丁靴女英伦风短靴学生平底韩版复古百搭; H. 小优家包包刺绣帆布包呢料链条包女2019新款百搭单肩斜挎包小包包; I. 小个子短款收腰马海毛粉色毛呢小外套女150呢子大衣2019春装新款; J. 迪桑娜女包手提包小方包 百搭欧美斜挎包包时尚牛皮单肩包风琴包,style_theme_match,"[""category_completion""]",3.0,3.0,"The input outfit features a velvet dress and high boots, suggesting a sophisticated, feminine style. The ground-truth bag (wool/chain) complements this 'lady/socialite' aesthetic better than the casual canvas or sporty options.",popularity_shortcut,A,0,J,0,J,0
all_fail,113,3941,G,0,1. doodoo包包女2019新款潮时尚女士百搭斜挎单肩手提包简约大气女包; 2. 热风春新款小清新小白鞋女平底原宿鞋系带时尚女休闲鞋潮H14W7110,A. 濛濛家 秋装2019新绣花网纱长袖连衣裙套装 初秋两件套; B. 卡通女孩印花蕾丝拼接荷叶摆甜美少女连衣裙; C. 皱皱zhou高腰牛仔短裤夏2019新款chic韩版百搭显瘦破洞阔腿热裤; D. 线下-韩都衣舍2018韩版女装夏装新款高腰宽松女牛仔裤OPC8657晽; E. 纯银耳钉女气质韩国个性创意新款缺角五角星锆石珍珠网红耳环耳饰; F. 帽子男潮夏天韩版棒球帽潮人防晒遮阳时尚百搭黑白薄夏季女鸭舌帽; G. 原创春夏新款娃娃领小香风显瘦黑色a字赫本小黑裙复古短袖连衣裙; H. HEIRLOOM凯特周Twin Cluth时尚牛皮手拿包; I. 刺绣polo裙宽松A字型减龄T恤裙连衣裙; J. 滕雨佳 2018秋冬新款驼色双面呢大衣长款深灰蓝羊毛毛呢女外套,style_theme_match,"[""category_completion""]",4.0,3.0,"The input items (a stylish handbag and white sneakers) suggest a casual, chic, and feminine aesthetic. The ground-truth 'little black dress' with a vintage Hepburn style aligns perfectly with this fashion mood, while other candidates are either mismatched in style or redundant accessories.",hard_negative_like,C,0,D,0,C,0
