example_type,row_idx,bundle_id,true_indice,true_option_char,prediction,hit,input_gt_rank,input_gt_sim,input_neg_sim_max,input_gt_margin_vs_best_neg,input_semantic_top_option_idx,input_semantic_top_item,pred_input_rank,gt_to_distractor_sim_max
hard_miss_gt_low_rank,188,1292,4517,E,C,0,10,0.2924841642379761,0.6159092783927917,-0.3234251141548157,3,44823,4,0.5895809531211853
hard_miss_gt_low_rank,219,7282,20851,G,E,0,10,0.3681878447532654,0.7725755572319031,-0.4043877124786377,9,6062,7,0.3211366534233093
hard_miss_gt_low_rank,213,7635,26357,I,B,0,10,0.3077244460582733,0.5376901626586914,-0.2299657166004181,5,617,9,0.39507246017456055
hard_miss_gt_low_rank,202,9539,13906,D,A,0,10,0.330365389585495,0.6187167763710022,-0.2883513867855072,7,18958,7,0.32688844203948975
hard_miss_gt_low_rank,149,17327,7191,C,B,0,10,0.28120502829551697,0.49765974283218384,-0.21645471453666687,1,21903,1,0.48808544874191284
hard_miss_gt_low_rank,156,8600,26876,C,J,0,10,0.3161006569862366,0.5837193727493286,-0.26761871576309204,4,34779,4,0.5980647802352905
hard_miss_gt_low_rank,126,9630,1377,J,A,0,10,0.2567767798900604,0.4804907441139221,-0.2237139642238617,5,2641,2,0.3566768765449524
hard_miss_gt_low_rank,125,1665,13718,D,E,0,10,0.2930731177330017,0.4610285758972168,-0.1679554581642151,2,38301,9,0.4763716459274292
semantic_top1_but_llm_miss,3,11737,39944,G,D,0,1,0.6476918458938599,0.556640088558197,0.09105175733566284,6,39944,6,0.5814520120620728
semantic_top1_but_llm_miss,50,9320,44675,G,J,0,1,0.5248484015464783,0.4752192497253418,0.049629151821136475,6,44675,2,0.5928751230239868
semantic_top1_but_llm_miss,231,8309,28648,C,I,0,1,0.4186011254787445,0.3732985556125641,0.04530256986618042,2,28648,3,0.41791146993637085
semantic_top1_but_llm_miss,24,209,28580,J,D,0,1,0.5117141008377075,0.4749060571193695,0.03680804371833801,9,28580,8,0.5214352607727051
semantic_top1_but_llm_miss,100,7711,21834,E,I,0,1,0.5553246736526489,0.5337260961532593,0.02159857749938965,4,21834,7,0.6442505121231079
semantic_top1_but_llm_miss,201,5639,46064,A,F,0,1,0.3930325508117676,0.3758113384246826,0.01722121238708496,0,46064,7,0.5166617631912231
semantic_top1_but_llm_miss,212,14868,2210,I,B,0,1,0.5100385546684265,0.4952510893344879,0.014787465333938599,8,2210,3,0.49334508180618286
semantic_top1_but_llm_miss,111,13585,36961,I,F,0,1,0.4899243116378784,0.4809732437133789,0.008951067924499512,8,36961,5,0.5166792869567871
semantic_top1_but_llm_miss,145,10137,13301,C,A,0,1,0.4885977804660797,0.4817606210708618,0.0068371593952178955,2,13301,2,0.565157413482666
semantic_top1_but_llm_miss,167,16651,18338,G,C,0,1,0.3874027729034424,0.383731871843338,0.00367090106010437,6,18338,6,0.5811787843704224
llm_hit_not_semantic_top1,163,9333,1139,C,C,1,2,0.34001970291137695,0.6913605332374573,-0.3513408303260803,9,44889,2,0.4547436833381653
llm_hit_not_semantic_top1,171,10901,28493,C,C,1,10,0.2419271618127823,0.5448014736175537,-0.3028743267059326,9,8248,10,0.5095148086547852
llm_hit_not_semantic_top1,4,17869,43126,E,E,1,3,0.4063238501548767,0.7069144248962402,-0.3005905747413635,7,47662,3,0.5169244408607483
llm_hit_not_semantic_top1,223,15061,39688,A,A,1,9,0.430965781211853,0.7297639846801758,-0.29879820346832275,8,33681,9,0.530484676361084
llm_hit_not_semantic_top1,214,8380,44190,C,C,1,9,0.32732194662094116,0.625354528427124,-0.29803258180618286,4,32696,9,0.4207991361618042
llm_hit_not_semantic_top1,152,18316,8126,G,G,1,6,0.48556509613990784,0.7825932502746582,-0.29702815413475037,0,22932,6,0.56629478931427
llm_hit_not_semantic_top1,72,13299,5285,A,A,1,6,0.4042506217956543,0.6829715967178345,-0.2787209749221802,7,1898,6,0.5019774436950684
llm_hit_not_semantic_top1,109,11776,45251,C,C,1,9,0.3873547911643982,0.6619815230369568,-0.2746267318725586,4,41644,9,0.6118842363357544
llm_hit_not_semantic_top1,233,2799,27229,C,C,1,7,0.4111986756324768,0.6652127504348755,-0.2540140748023987,8,31772,7,0.4977608621120453
llm_hit_not_semantic_top1,57,13155,601,B,B,1,6,0.4354625344276428,0.6453564167022705,-0.20989388227462769,0,16301,6,0.41801881790161133
