index,difficulty,reason
24,5.0,"정답(I)이 '가을 신상' 드레스인데 기존 번들은 '봄/여름' 아이템으로 구성되어 계절적 불일치가 있음. 반면 오답 C(캔버스 가방)는 기존 번들의 '캐주얼한 야구모자'와 '캔버스화'에 완벽하게 어울리는 '캐주얼한 학생용 가방'으로, 계절과 스타일 모두 완벽하게 일치하여 정답보다 더 자연스러워 보임."
25,1.0,"정답(B)이 '봄', '학생용', '캐주얼' 흰색 운동화로, 기존 번들의 '봄 신상', '학생용' 셔츠와 데님 스커트에 완벽하게 어울려 정답이 매우 뚜렷함. 다른 오답들은 계절(A, C, D, E, F, J)이나 스타일(G, H, I)이 맞지 않음."
26,3.0,"기존 아웃핏에 겨울용 레깅스가 있어, 정답인 겨울용 설상화(A)는 적절합니다. 오답 중 H(모헤어 스웨터)와 J(재킷)도 겨울 의류로 계절적 유사성이 있어 고민이 필요합니다."
27,5.0,"기존 아웃핏에 가을/겨울 드레스와 여름 밀짚모자가 있어 계절적 모호성이 있습니다. 정답인 로퍼(D)와 오답인 로퍼(E)는 거의 동일한 종류의 신발로, 학생 스타일에 잘 어울려 구별하기 매우 어렵습니다."
28,3.0,기존 아웃핏이 캐주얼하고 봄 분위기입니다. 정답인 흰색 스니커즈(F)는 캐주얼 드레스에 잘 어울립니다. 오답 중 J(청키 스니커즈)도 스니커즈 종류로 유사성이 있어 고민이 필요합니다.
29,3.0,"기존 아웃핏이 프렌치 레트로 가을/겨울 분위기입니다. 정답인 크로스백(I)은 '라이트 레트로', '프랑스 소규모 브랜드'라는 설명이 있어 베레모의 '프렌치 레트로'와 잘 맞습니다. 오답 중 B와 H도 가방이지만, I의 스타일적 유사성이 더 강합니다."
30,1.0,"기존 아웃핏에 가을/겨울 마틴 부츠가 있어, 정답인 모헤어 가디건(H)은 명확한 가을/겨울 상의입니다. 대부분의 오답은 여름 의류이거나 액세서리, 다른 가방이어서 혼동의 여지가 적습니다."
31,5.0,"기존 아웃핏은 액세서리(시계, 진주 귀걸이)로, 귀걸이는 '한국 스타일', '우아함'을 강조합니다. 정답인 스트라이프 드레스(J)와 오답인 레이스 드레스(I) 모두 러플 디테일이 있는 드레스입니다. 특히 I는 '한국 스타일', '우아함'을 명시하여 귀걸이와 매우 유사한 속성을 가집니다."
32,1.0,"기존 아웃핏의 미니 크로스백이 '여름', '봄'을 명시합니다. 정답인 데님 반바지(C)는 명확히 '여름' 아이템으로 계절적 일치도가 높습니다. 대부분의 오답은 겨울 아이템이거나 덜 명확한 계절성을 가집니다."
33,1.0,"기존 아웃핏은 캐주얼하고 여름 분위기입니다. 정답인 야구모자(B)는 캐주얼한 여름 액세서리로 명확하게 어울립니다. 많은 오답이 겨울 아이템이거나 다른 종류의 액세서리, 신발이어서 혼동의 여지가 적습니다."
34,3.0,"기존 아웃핏은 '한국 스타일', '우아함', '봄/여름' 분위기입니다. 정답인 가죽 스커트(B)는 '봄', '한국 스타일'을 명시하여 기존 아이템과 스타일적 유사성이 높습니다. 오답 중 E, G, I도 봄 하의이지만, B의 스타일적 일치도가 더 강합니다."
35,1.0,"기존 아웃핏은 '레트로', '영국 스타일' 마틴 부츠와 '레트로' 호보백으로 구성되어 있습니다. 정답인 베레모(D)는 '레트로', '영국 스타일' (뉴스보이 캡)을 명시하여 스타일적 일치도가 매우 높습니다. 대부분의 오답은 계절적 불일치가 크거나 스타일적 유사성이 떨어집니다."
36,5.0,"기존 아웃핏에 스키니진이 있습니다. 정답인 설상화(B)는 '겨울', '마틴 부츠 스타일'입니다. 오답 중 D(마틴 부츠)도 '겨울', '마틴 부츠'로 매우 유사한 종류의 신발입니다. 두 아이템 모두 스키니진과 잘 어울리며, 구별하기 매우 어렵습니다."
37,5.0,"기존 아웃핏은 '봄', '한국 스타일', '학생' 분위기입니다. 정답인 울 드레스(E)는 '봄', '귀여운', '학생 스타일'입니다. 오답 중 데님 오버롤(H)도 '봄', '한국 스타일', '학생'을 명시하여 기존 아웃핏과 매우 유사한 속성을 가집니다. 둘 다 레이어링 가능한 아이템으로 구별하기 매우 어렵습니다."
38,5.0,"기존 아웃핏에 봄 가방과 가을/겨울 베레모가 있어 계절적 모호성이 있습니다. 베레모는 '프렌치 레트로', 가방은 '한국 스타일', '캐주얼'입니다. 정답인 루즈핏 청바지(E)는 '여름', '시크', '루즈핏', '아빠 청바지'입니다. 오답 중 새들백(C)은 '레트로', '한국 스타일'을 명시하여 베레모의 '레트로'와 가방의 '한국 스타일'을 모두 만족시키는 매우 강력한 하드 네거티브입니다."
39,3.0,"정답인 C 외에도 가방 카테고리인 F와 J가 포함되어 있어 혼동 가능성이 있으며, 기존 번들의 울 코트와 계절감이 맞는 A(울 바지)와 G(울 베레모)가 있어 고민이 필요한 문제임."
40,2.0,"이미 부츠와 원피스가 포함되어 있어 신발(B, J)과 바지(D, H)는 쉽게 제외되며, 가방(A, C, G)류보다 가을/겨울 시즌감과 우아한 스타일에 더 잘 어울리는 베레모(E)가 정답으로 뚜렷함."
41,3.0,"정답인 베레모 외에도 D(부츠), F(재킷), I(니트), J(부츠) 등 가을/겨울 시즌과 여성스러운 스타일에 부합하는 아이템들이 다수 포함되어 있어, '레트로'라는 구체적인 스타일 키워드를 매칭해야 하므로 어느 정도 고민이 필요함."
42,3.0,"상황이 여름 휴양지 룩(밀짚모자, 뮬)이므로, 정답인 시계(F) 외에도 여름용 가방(A, I)이나 레이스 원피스(C)가 스타일적으로 매우 잘 어울려 혼동될 가능성이 높음."
43,2.0,"후보군 중 다수가 이미 번들에 포함된 아이템과 중복되는 원피스(A, D, E, F, G)이거나 성별이 다른 남성복(J)이어서 쉽게 제외됩니다. 신발류(C, H, I)가 대안이 될 수 있으나, 기존의 섹시하고 우아한 스타일의 원피스 및 진주 귀걸이와 조화를 이루는 액세서리인 시계(B)가 상대적으로 정답으로서 뚜렷합니다."
44,3.0,"정답 C 외에도 B, E, F, H 등 신발 카테고리의 선택지가 많아, 폴로 원피스의 캐주얼하고 영한 스타일과 가장 잘 어울리는 신발을 찾는 과정에서 고민이 필요함."
45,2.0,"이미 가방과 신발이 구성되어 있어 의류 아이템이 필요한 상황이며, 의류 후보(D, E, H, J) 중 신발의 '가을(秋季)' 키워드와 계절감이 일치하는 정답 H가 명확하게 구분됨."
46,3.0,"정답인 J와 오답 I가 모두 귀걸이 액세서리이며, 기존 번들의 '소향풍(Chanel-style)' 가방과 더 잘 어울리는 스타일을 선택해야 하므로 두 선택지 사이에서 고민이 필요함."
47,3.0,"오답 중 B, D가 액세서리이며, 특히 I가 정답과 동일한 품목인 시계여서 혼동 가능성이 있음. 다만, 기존 아이템인 블랙 초커와 정답인 블랙 메탈 시계의 색상 통일감이 뚜렷함."
48,2.0,"기존 번들에 포함된 '진주 귀걸이'와 정답인 '목걸이(E)'가 액세서리라는 동일 카테고리이자 우아한 스타일로 매우 잘 어울림. 가방(B)이나 구두(H, J) 같은 아이템이 오답에 포함되어 있으나, 액세서리 간의 조합이 더 직관적이라 난이도가 낮음."
49,3.0,"상황이 가을/겨울 여성 패션(베레모, 퀼팅백)이므로, 정답인 H(기모 청바지) 외에도 A(레이스 스커트)와 C(울 코트)가 동일한 성별 및 계절감의 아이템이라 혼동될 여지가 있음."
50,2.0,"대부분의 오답(A, B, D, E, F, G)이 여름/봄 의류라 울 소재의 모자와 어울리지 않아 쉽게 제외되지만, H, I, J와 같은 가을/겨울 아이템들이 있어 정답인 C(니트)와 계절감이 겹치므로 약간의 구분이 필요함."
51,2.0,"오답 중 B, D, F, H는 계절감이 맞지 않는 가을/겨울 의류이며, E는 남성용 셔츠라 쉽게 제외됩니다. 나머지 가방류(A, C, G)보다 정답인 진주 귀걸이(J)가 기존의 '페미닌/요정 스타일' 여름 코디 맥락에 가장 자연스럽게 어울립니다."
52,1.0,"정답(D)만 유일하게 기존 번들과 동일한 브랜드(GENANX闪电潮牌) 및 스트릿 스타일의 남성 의류이며, 나머지 오답들은 대부분 여성용 의류나 전혀 다른 스타일의 아이템들이라 정답이 매우 명확함."
53,2.0,"기존 아이템들이 진주 귀걸이와 다이아몬드 시계로 '우아하고 화려한' 스타일이므로, 정답 G(실크 스틸레토 힐)가 가장 잘 어울립니다. 오답 중 H와 I가 드레스로서 스타일이 유사해 약간의 고민이 될 수 있으나, 나머지 오답들은 너무 캐주얼한 아이템들이라 정답이 비교적 뚜렷하게 구분됩니다."
54,2.0,"정답인 E(겨울 울 코트)가 기존 번들의 '겨울용 털 가방'과 계절감이 매우 잘 어울리며, 오답 중 C, F, G와 같은 여름/봄 아이템들은 계절상 맞지 않아 쉽게 제외할 수 있음. 다만 A(겨울 신발)나 B, I, J(가을/니트류)가 일부 계절적 유사성을 띠고 있어 약간의 고민이 가능함."
55,3.0,"정답인 F(플리츠 스커트)와 유사한 하의 카테고리인 J(망사 스커트/원피스)가 존재하며, A, B, C 등 다양한 의류 후보군이 있어 스타일 적합성을 판단해야 하므로 어느 정도 고민이 필요함."
56,3.0,"정답인 A 외에도 F, J와 같이 가방 아이템이 포함되어 있어 스타일 매칭에 따른 고민이 필요하며, 계절감이 맞지 않는 여름/봄 의류들이 섞여 있어 어느 정도 변별력이 있음."
57,3.0,"정답인 베레모(C) 외에도 가을 시즌에 어울리는 트렌치코트(I), 가디건(J)과 같은 의류 및 귀걸이(B, D)와 같은 액세서리 후보들이 있어 선택 시 고민이 필요함."
58,2.0,"기존 번들이 청바지와 셔츠의 캐주얼한 조합이므로 신발인 정답 F가 가장 적절합니다. 오답 중 C 역시 신발이라 일부 헷갈릴 수 있으나, 나머지 옵션들은 원피스, 재킷 등 품목이 완전히 달라 정답을 찾기 쉽습니다."
59,3.0,"정답(I)과 동일한 카테고리인 가방 아이템이 D, G, J 등 여러 개 포함되어 있어, 스타일 적합성을 판단하는 데 고민이 필요함."
60,3.0,"기존 구성이 티셔츠와 운동화인 캐주얼 룩으로, 정답인 가방(D) 외에도 또 다른 가방(I)과 하의(C, F) 등 함께 매치하기 적절한 아이템들이 포함되어 있어 혼동의 여지가 있음."
61,3.0,"정답인 C와 오답 A가 모두 가방 아이템이며, 스타일 면에서도 유사하여 선택 시 고민이 필요함. 또한 G가 기존 번들에 포함된 아이템과 동일한 흰색 운동화 카테고리여서 혼동을 줄 수 있음."
62,4.0,"정답 J와 오답 A가 모두 '소형 스퀘어 크로스백'으로 매우 유사하며, 오답 E 또한 가방류이고, 오답 B는 기존 아이템(구두)의 진주 디테일과 어울리는 진주 귀걸이라 혼동 가능성이 높음."
63,2.0,"오답 중 다수가 원피스나 스커트(C, D, E, F, I, J)로, 이미 번들에 포함된 '청바지'와 함께 매치할 수 없어 쉽게 제외됩니다. 코트(B)나 액세서리(A, H)가 남지만, 베레모와 청바지의 프렌치 레트로/캐주얼 무드에 가장 잘 어울리는 아이템은 마틴부츠(G)이므로 정답을 찾기 쉽습니다."
64,2.0,"전체적인 스타일이 '우아함/페미닌' 컨셉(레이스 블라우스, 샤넬풍 구두)이므로, 이에 가장 잘 어울리는 진주 귀걸이(D)가 정답으로 명확함. 다만, 가방류(B, F, H, I)라는 다른 액세서리 선택지들이 존재하여 약간의 혼동 여지가 있음."
65,2.0,"정답인 D(청바지)가 후보 중 유일한 하의 아이템이라 정답 도출이 쉽지만, E와 I(마틴부츠)가 전체적인 레트로/캐주얼 스타일과 잘 어울려 일부 혼동 가능성이 있음."
66,3.0,정답인 가방(D) 외에도 여름용 반바지(J)나 얇은 가디건(E)처럼 주어진 여름 T셔츠 및 신발과 스타일적으로 매우 잘 어울리는 아이템들이 포함되어 있어 선택에 고민이 필요함.
67,3.0,"정답인 바지(E) 외에도 다른 스타일의 바지(B, I)와 여러 벌의 원피스(A, C, F, H)가 후보에 포함되어 있어, 신발과 가방에 어울리는 의류 스타일을 선택하는 과정에서 고민이 필요함."
68,2.0,"대부분의 오답이 계절감이 맞지 않거나(여름/봄), 이미 바지가 포함된 구성에 어울리지 않는 원피스 형태여서 정답인 가방이 상대적으로 뚜렷하게 구분됨. 다만, 겨울용 상의인 J가 있어 약간의 고민 여지가 있음."
69,3.0,"정답인 가디건(B) 외에도 스커트(A), 기본 티셔츠(F), 청바지(H) 등 다른 의류 아이템들이 후보에 포함되어 있어, 주어진 액세서리들의 '복고풍' 및 '인스타 감성' 분위기에 가장 적합한 스타일을 선택해야 하므로 어느 정도의 판단력이 필요함."
70,2.0,"정답인 E(니트/가디건) 외에 F(티셔츠), D(반바지) 등 다른 의류 아이템들이 있어 약간의 고민이 가능하지만, 후보군이 다양한 카테고리(액세서리, 가방, 신발 등)로 분산되어 있어 정답을 찾기가 비교적 수월함."
71,2.0,"정답(I)과 같은 신발 카테고리에 D(스니커즈)와 H(설벅)가 포함되어 있어 선택지가 좁혀지지만, 슬림한 니트 원피스라는 상황에 가장 스타일리시하게 어울리는 아이템이 앵클 부츠(I)이므로 정답을 찾기 비교적 쉽습니다."
72,3.0,"이미 상의와 가방이 포함된 구성이므로 하의나 신발이 필요한 상황입니다. 정답인 신발(C) 외에도 여러 종류의 하의(D, F, G, J)가 선택지로 제시되어 있어, 어떤 아이템이 전체적인 스타일(학생/캐주얼 룩)에 가장 잘 어울리는지 판단해야 하므로 어느 정도의 고민이 필요합니다."
73,1.0,"주어진 상황이 여름철 '소청신(小清新)' 스타일의 스커트와 밀짚모자인 반면, 오답의 대부분이 겨울 의류(B, C, F)이거나 남성복(I), 혹은 지나치게 화려한 스타일(E, H)이라 정답인 흰색 운동화(A)가 매우 뚜렷하게 구분됨."
74,2.0,"전체적인 스타일이 여성스러운 영국풍 레트로 룩이므로, 정답인 하이힐(B)이 가장 잘 어울립니다. 오답 중 레트로 스타일의 모자(D)가 약간의 혼동을 줄 수 있으나, 나머지 옵션들이 계절감이 맞지 않거나(여름/겨울) 너무 캐주얼하여 정답이 비교적 명확합니다."
75,2.0,"오답 중 G(셔츠)와 E, J(겨울 외투)가 계절감이나 품목 면에서 고려 대상이 될 수 있으나, 정답 D의 '벨벳' 및 '레트로' 스타일이 기존 번들의 '프렌치 레트로' 스커트와 가장 조화로워 정답이 비교적 명확함."
76,3.0,"정답인 가방(C) 외에도 겨울/가을 시즌 및 스타일이 일치하는 자켓(G), 트렌치코트(I), 청바지(J) 등의 선택지가 있어 어느 정도 고민이 필요함."
77,1.0,"상황이 겨울철 의류(베레모, 두꺼운 솜옷)로 구성되어 있어, 정답인 겨울용 방한화(H)가 계절감 면에서 압도적으로 적절함. 나머지 오답들은 봄/여름용 아이템이거나 액세서리여서 혼동 가능성이 매우 낮음."
78,1.0,"정답(H)은 기존 번들의 브랜드(GENANX)와 스타일(남성 스트릿웨어)이 완벽하게 일치하는 반면, 나머지 오답들은 대부분 여성용 의류나 액세서리로 구성되어 있어 정답이 매우 명확함."
79,2.0,"남성용 의류(B, C, F)와 이미 번들에 포함된 품목과 중복되는 신발(A, G) 및 상의(I, J)가 많아 오답 제거가 쉽습니다. 스타일이 다른 의류(D, H)보다 무난한 액세서리인 E가 정답으로 뚜렷하게 보입니다."
80,2.0,"전체적인 스타일이 겨울철 한국/영국풍 학생 룩(두꺼운 니트, 마틴부츠)이므로, 계절감이 맞지 않는 봄/여름 아이템(A, C, D, F)은 쉽게 제외됩니다. 가방(E)이나 내의(J)보다 베레모(B)가 해당 스타일의 분위기를 완성하는 전형적인 액세서리라 정답이 비교적 명확합니다."
81,3.0,"정답(C)과 매우 유사한 속성을 가진 여름용 원피스(G)가 포함되어 있으며, 여름 시즌에 어울리는 신발류(E, F)가 오답으로 제시되어 있어 선택 시 고민이 필요함."
82,2.0,"정답인 D(슬랙스)는 기존의 고급스러운 귀걸이와 포멀한 하이힐과 스타일(시크/포멀)이 잘 어울리지만, 나머지 오답들은 너무 캐주얼하거나(A, C, I, J), 계절감이 맞지 않거나(B, G), 스타일이 상충(H)하여 정답이 비교적 뚜렷함."
83,3.0,"오답 중 A, C, E, F, I 등 다양한 여성 의류가 포함되어 있어 선택지가 많지만, 진주 귀걸이와 핸드백이라는 액세서리 조합의 여성스럽고 단정한 분위기에 가장 잘 어울리는 아이템은 블랙 원피스(B)이므로 어느 정도 추론이 가능함."
84,2.0,"정답 H와 오답 E가 모두 귀걸이 제품으로 동일한 액세서리 카테고리에 속해 있어 일부 혼동 가능성이 있으나, 나머지 오답들은 의류나 신발로 카테고리가 명확히 구분됨."
85,3.0,"정답인 G(하이힐) 외에도 C, I와 같은 신발류와 B, H와 같은 가방류가 포함되어 있어, 전체적인 스타일(트렌치코트, 귀걸이)에 가장 잘 어울리는 아이템을 선택하는 데 고민이 필요함."
86,3.0,"기존 아이템(체인백, 첼시부츠)이 영국풍/레트로 스타일을 형성하고 있어, 정답인 G(베레모) 외에도 I(체크 스커트)가 스타일상 매우 잘 어울리는 조합이라 혼동될 여지가 있음."
87,2.0,"기존 아이템(화이트 스니커즈, 미니백)의 여성스럽고 달콤한 스타일과 정답인 시폰 셔츠(G)가 잘 어울립니다. 오답 중 상당수가 이미 신발이 포함된 구성에서 중복되는 신발류(D, F, H)이거나 계절감이 맞지 않는 겨울 아이템(A, J)이라 정답을 추려내기 쉽습니다."
88,1.0,"상황에 제시된 아이템들이 모두 남성용 제품이며, 정답인 F를 제외한 모든 오답(A~E, G~J)이 여성용 제품으로 명시되어 있어 정답이 매우 뚜렷함."
89,3.0,"기존 아이템들이 캐주얼하고 학원풍(Academy style)이므로, 정답인 원피스(I) 외에도 코듀로이 셔츠(G)나 멜빵 원피스(F) 같은 캐주얼한 의류들이 선택지로 있어 어느 정도 고민이 필요함."
90,2.0,"정답인 베레모(D)가 기존 아이템들의 '가을/겨울' 계절감 및 '빈티지/시크' 스타일과 매우 잘 어울립니다. 오답 중 상당수(A, B, E, H, I)가 여름/봄 아이템이라 쉽게 제외되며, 나머지 아이템들도 스타일적 일관성 면에서 정답보다 뚜렷함이 떨어집니다."
91,2.0,"오답 중 B, D, F는 하의나 원피스로 기존 아이템(스커트)과 중복되며, C는 남성용 제품이라 쉽게 제외됩니다. I, J(상의)와 E, G, H(액세서리)가 후보가 될 수 있으나, 정답인 A(미니멀 블랙 백)가 기존의 시크하고 빈티지한 스타일(마틴부츠, 플리츠 스커트)에 가장 무난하게 어울리는 아이템입니다."
92,2.0,"이미 원피스와 샌들이 포함되어 있어 추가 신발(A, D, F)이나 의류(C, E, J)는 중복되며, 겨울 아이템(B, H)은 계절감이 맞지 않음. 액세서리인 모자(G)가 후보에 있으나, 우아한 스타일의 완성도를 높이는 가방(I)이 더 일반적이고 적절한 선택지임."
93,3.0,"정답인 E 외에도 D, I와 같은 가방류와 B, G와 같은 복고풍 신발들이 포함되어 있어, 가을 룩에 어울리는 액세서리를 선택하는 과정에서 고민이 필요함."
94,1.0,"기존 번들이 남성용 조거 팬츠와 스니커즈로 구성된 남성 스트릿 스타일인 반면, 정답인 D(남성용 시계)를 제외한 모든 오답(A, B, C, E, F, G, H, I, J)이 여성용 의류나 가방으로 구성되어 있어 정답이 매우 명확함."
95,2.0,"정답인 C(스커트)가 기존 상의의 '페미닌/러플' 스타일과 매우 잘 어울리며, 오답 중 상당수가 이미 상의가 있는 상황에서 중복되는 품목(셔츠, 원피스)이거나 스타일이 맞지 않는 캐주얼 신발(B, J)이라 정답이 비교적 명확함. 다만 A, H와 같은 구두가 선택지로 있어 약간의 고민이 있을 수 있음."
96,1.0,"기존 번들이 남성용 시계와 GENANX 브랜드의 남성용 후드티로 구성되어 있는데, 정답 D 역시 동일 브랜드(GENANX)의 남성용 신발인 반면, 나머지 오답들은 모두 여성용 의류, 가방, 액세서리들로 구성되어 있어 정답이 매우 명확함."
97,2.0,"정답인 C(모리걸 스타일 체크 트렌치코트)가 기존 아이템인 일제 뉴스보이 캡의 빈티지하고 예술적인 스타일과 매우 잘 어울립니다. 오답들은 계절감이 맞지 않거나(D, G, I), 스타일이 너무 화려하거나(A) 지나치게 격식 있는(B, J) 아이템들이라 정답이 비교적 뚜렷하게 구분됩니다."
98,3.0,"정답은 액세서리(귀걸이)이며, 오답 중 A(기모 청바지)와 F(앵클 부츠)가 주어진 상황인 겨울 코트와 계절감 및 스타일 면에서 잘 어울리는 아이템들이라 어느 정도 고민이 필요함."
99,2.0,"정답 F는 여름용 꽃무늬 원피스로, 상황에 제시된 여름용 가방 및 여성스러운 귀걸이와 스타일 및 계절감이 매우 잘 어울립니다. 오답 중 D(비치 드레스)와 H(봄 셔츠 원피스)가 같은 원피스 카테고리라 일부 헷갈릴 수 있으나, 전체적인 스타일 조화 면에서 F가 가장 뚜렷한 정답입니다."
100,2.0,"정답인 베레모(D)와 같은 모자 카테고리인 야구모자(F)가 있어 약간의 혼동이 있을 수 있으나, 가죽 자켓과 패션백의 시크한 스타일에는 베레모가 더 적합하여 정답이 비교적 뚜렷함."
101,3.0,"이미 신발이 포함되어 있어 신발류 오답(A, B, C, E, G)은 쉽게 제외되지만, H(프렌치 스타일 원피스)와 J(니트 상의)가 정답인 I(니트 스커트)와 계절감 및 스타일(프렌치 레트로)이 유사하여 고민이 필요함."
102,2.0,"정답인 베레모(D) 외에 가디건(A)이나 부츠(E)가 스타일상 어울릴 수 있으나, 하의류(G, H, I)나 상의(C, F) 등 명백히 맞지 않는 아이템들이 많아 정답을 찾기 비교적 쉬움."
103,2.0,"대부분의 오답이 여름/봄 시즌 아이템이거나 이미 번들에 포함된 가방 품목(A)이라 쉽게 제외할 수 있습니다. 다만, J(겨울 코트)가 정답 H(겨울 자켓)와 동일한 겨울 외투라는 점에서 약간의 혼동이 있을 수 있으나, 전체적인 스타일 조합상 H가 더 적절합니다."
104,2.0,"정답인 I(귀걸이)가 기존 번들의 '甜美(달콤한/귀여운)' 스타일과 일치하며 액세서리로서 보완 관계에 있음. 반면 오답들은 이미 상의와 신발이 포함된 구성에서 중복되는 품목(상의, 신발, 원피스)이거나 스타일이 맞지 않는 아이템(남성용 신발, 징 박힌 가방)이어서 정답이 비교적 뚜렷함."
105,3.0,"정답인 B 외에도 C, E, H가 모두 가방 아이템이며, 특히 C(캔버스백)와 H(미니 리본백)가 기존의 학생 스타일 및 달콤한 분위기와 잘 어울려 선택지 간의 고민이 필요함."
106,3.0,"정답 B와 오답 J가 모두 여름용 반팔 티셔츠로 품목과 계절감이 동일하여, 두 선택지 사이에서 고민이 필요함."
