example_type,row_idx,bundle_id,true_indice,true_option_char,prediction,hit,input_gt_rank,input_gt_sim,input_neg_sim_max,input_gt_margin_vs_best_neg,input_semantic_top_option_idx,input_semantic_top_item,pred_input_rank,gt_to_distractor_sim_max
hard_miss_gt_low_rank,178,4543,27114,D,A,0,10,0.3904845118522644,0.6073482036590576,-0.2168636918067932,1,17728,6,0.3735213875770569
hard_miss_gt_low_rank,196,26319,284,F,A,0,10,0.36214250326156616,0.5209972858428955,-0.15885478258132935,2,9305,8,0.5489330291748047
semantic_top1_but_llm_miss,202,9836,18546,H,A,0,1,0.6179053783416748,0.5418426394462585,0.07606273889541626,7,18546,3,0.533855140209198
semantic_top1_but_llm_miss,248,25105,12363,F,A,0,1,0.5842357873916626,0.5417314171791077,0.04250437021255493,5,12363,4,0.3923584222793579
semantic_top1_but_llm_miss,193,19265,27017,E,D,0,1,0.5872766375541687,0.5484269261360168,0.038849711418151855,4,27017,8,0.6567060351371765
semantic_top1_but_llm_miss,89,20472,11158,I,F,0,1,0.49564021825790405,0.4737112820148468,0.02192893624305725,8,11158,5,0.5440561771392822
semantic_top1_but_llm_miss,62,6358,19488,J,A,0,1,0.5650358200073242,0.5499552488327026,0.015080571174621582,9,19488,3,0.6124175190925598
semantic_top1_but_llm_miss,26,6488,12038,A,D,0,1,0.5440704226493835,0.5348249673843384,0.009245455265045166,0,12038,10,0.48417168855667114
semantic_top1_but_llm_miss,113,3941,18922,G,C,0,1,0.5344505906105042,0.5264604091644287,0.00799018144607544,6,18922,5,0.5264202952384949
semantic_top1_but_llm_miss,32,28830,6062,C,F,0,1,0.4815942645072937,0.48098596930503845,0.000608295202255249,2,6062,7,0.5474815368652344
llm_hit_not_semantic_top1,166,2859,1516,J,J,1,9,0.41142386198043823,0.727056622505188,-0.31563276052474976,3,12654,9,0.5166696310043335
llm_hit_not_semantic_top1,219,12204,15481,B,B,1,7,0.42878997325897217,0.7232916355133057,-0.2945016622543335,2,27780,7,0.695740818977356
llm_hit_not_semantic_top1,12,27603,3116,D,D,1,8,0.3986196517944336,0.6658400297164917,-0.2672203779220581,9,20457,8,0.38334527611732483
llm_hit_not_semantic_top1,126,7400,2368,A,A,1,9,0.4008176326751709,0.6560028195381165,-0.25518518686294556,2,8838,9,0.6000535488128662
llm_hit_not_semantic_top1,25,2944,13302,B,B,1,9,0.36732351779937744,0.5965650677680969,-0.22924154996871948,8,23238,9,0.47279006242752075
llm_hit_not_semantic_top1,208,2116,30641,A,A,1,7,0.438776433467865,0.6563654541969299,-0.21758902072906494,9,29470,7,0.4173836410045624
llm_hit_not_semantic_top1,10,24350,13741,E,E,1,10,0.37288156151771545,0.5793433785438538,-0.2064618170261383,8,9610,10,0.44274258613586426
llm_hit_not_semantic_top1,135,2116,1549,A,A,1,6,0.45363062620162964,0.6563654541969299,-0.2027348279953003,9,29470,6,0.5449041724205017
llm_hit_not_semantic_top1,92,6683,1573,I,I,1,10,0.38432398438453674,0.5785314440727234,-0.19420745968818665,7,7217,10,0.3759600818157196
llm_hit_not_semantic_top1,64,26712,24847,D,D,1,10,0.4250238239765167,0.614910364151001,-0.18988654017448425,2,17469,10,0.46861112117767334
