dataset,focal_view,bundle_id,true_option,input,true_item,true_added_context,rank_IBxBI,rank_IUxUI,rank_BIxIB,candidate_indices,IBxBI_top_wrong_option,IBxBI_top_wrong_item,IBxBI_top_wrong_context,IUxUI_top_wrong_option,IUxUI_top_wrong_item,IUxUI_top_wrong_context
pog,BIxIB,13559,F,1. 红色木耳边波点雪纺连衣裙女中长款喇叭袖收腰内搭裙冬2018新款@; 2. 小包包女ins铆钉宽肩带斜挎包2019新款韩版蝴蝶结手提单肩小方包,2019新款春款韩版百搭浅口尖头温柔鞋黑色软底平底鞋单鞋女晚晚鞋,,4,6,1,"[4017, 34322, 27031, 25661, 25159, 28733, 11291, 8369, 40553, 40548]",J,风晴雪 贝雷帽女冬韩版日系简约百搭羊毛帽子画家帽女小清新文艺,,J,风晴雪 贝雷帽女冬韩版日系简约百搭羊毛帽子画家帽女小清新文艺,
pog,BIxIB,14238,I,1. aza小包包新款潮女包ins时尚简约大气百搭chic迷你手提单肩斜挎包; 2. 哈森 春休闲水钻皮带扣套脚方根平底深口单鞋女 HL77413,韩都衣舍2019新款女装春韩版高腰休闲弹力小脚牛仔裤GQ8832耒,,3,2,1,"[41650, 30622, 40086, 43223, 20480, 4085, 679, 653, 37931, 2940]",J,恩家汇 毛呢阔腿裤女九分裤2018秋冬新款宽松垂直感高腰休闲裤子,,C,BAO STYLE◆气质韩国星星长款流苏耳环女 个性耳饰百搭耳坠简约潮,
pog,BIxIB,10188,D,1. 2019新款豆腐包box锁扣小方包真皮都挺好同款包单肩斜挎小ck女包,花衫集原创设计自制女装-复古华丽条纹丝绒A字喇叭裙春秋半裙短,,8,2,1,"[18887, 25662, 5437, 10048, 17443, 29038, 34774, 12320, 1860, 3589]",F,现货LIVAS柔软的丹宁合身巨显瘦，修身好版型小脚裤 中高腰牛仔裤,,J,【直播】初语春秋不规则下摆性感V领条纹吊带连衣裙女无袖背心裙,
pog,BIxIB,7095,I,1. 小鹿要飞 新款秋冬双层白色网纱半身裙女小清新仙女裙打底长裙子,100%羊毛套头毛衣女2018新款针织上衣慵懒风粗毛线高领纯色羊毛衫,,3,3,1,"[37005, 11465, 40408, 7472, 47292, 40896, 26985, 38929, 44163, 48582]",B,夕蒙小个子中长款呢子赫本大衣女过膝秋冬加厚2018流行毛呢外套,,B,夕蒙小个子中长款呢子赫本大衣女过膝秋冬加厚2018流行毛呢外套,
pog,BIxIB,11060,A,1. Mexican/稻草人女包手提包包女2019新款时尚百搭女式单肩斜挎包潮; 2. Danielwellington 丹尼尔惠灵顿DW手表女28mm简约时尚女表,性感连衣裙女夏2018新款韩版名媛气质V领开叉荷叶边红色吊带裙,,5,5,1,"[24796, 32556, 19673, 8647, 39977, 6470, 48519, 39001, 31622, 41522]",I,南瓜谷 休闲裤女高腰宽松2018新款九分裤秋季百搭裤子薄西裤 K388,,I,南瓜谷 休闲裤女高腰宽松2018新款九分裤秋季百搭裤子薄西裤 K388,
pog,BIxIB,9769,J,1. 施华洛世奇TOUGH项链仿水晶月亮星星项链女锁骨链气质首饰; 2. ALOHA STUDIO 露合制衣 飞飞袖交叉绑带星星长裙高腰V领连衣裙 女,菲伯丽尔夏季新款港味平底时尚外穿绑带仙女的凉鞋FB82115047,,2,3,1,"[21541, 24641, 39963, 15074, 33842, 4100, 38252, 9457, 36075, 33185]",I,@小麋人 精致爱心流苏少女星星S925纯银耳钉耳环约会聚会礼物女款,,A,高跟鞋女粗跟2019新款韩版百搭女士春款单鞋女中跟方头英伦小皮鞋,
pog,BIxIB,15012,E,1. 高腰不规则半身裙女春2019新款韩版chic裙子短裙背带裙包臀裙夏季; 2. aza包包女新款女包潮韩版百搭斜挎包单肩包时尚手提包链条小包女,2018秋季新款百搭高帮鞋真皮板鞋潮款平底帆布鞋系带小白鞋单鞋子,,5,4,1,"[2818, 17184, 21065, 41663, 8748, 12150, 27477, 1508, 26982, 26990]",J,秋季包包女2019新款潮韩版百搭斜挎包链条包简约单肩包迷你小方包,,B,切尔西短靴女粗跟平底马丁靴女英伦风女靴春秋单靴子女真皮及踝靴,
pog,BIxIB,12685,F,1. 豆豆鞋女秋冬加绒平底棉鞋2018新款可爱毛毛鞋真皮百搭一脚蹬女鞋,范智乔 加厚复古加绒毛呢格子羊羔毛短款外套女冬小个子棒球服,,2,3,1,"[47549, 48203, 9908, 22301, 31895, 40963, 38053, 42187, 4158, 23625]",E,毛呢裤女哈伦裤子2018新款宽松小脚萝卜裤高腰直筒裤休闲九分裤,,E,毛呢裤女哈伦裤子2018新款宽松小脚萝卜裤高腰直筒裤休闲九分裤,
pog,BIxIB,8804,G,1. 切尔西短靴2018新款牛反绒磨砂皮短靴尖头中跟靴子粗跟马丁裸靴女,秋冬新款韩版针织套头中长款过膝宽松直筒连衣裙半高领毛衣长裙女,,2,2,1,"[31161, 10310, 29272, 23758, 13917, 36378, 42890, 39081, 10979, 27704]",C,韩都衣舍2019韩版女装春装新款显瘦条纹纯色chic风连衣裙GJ6933荃,,B,尚都比拉2018简约时尚黑色显瘦短裙秋新品a字裙l半身裙女,
pog,BIxIB,14081,E,1. 显脸瘦的流苏耳坠999纯银耳环长款女 韩国气质时尚个性冷淡风耳饰; 2. 2018新款星空面钢带女士手表韩版时尚潮流水钻时装女表防水石英表,撞色镶边荷叶袖拼接蕾丝花边收腰伞摆连衣裙,,2,2,1,"[23339, 34054, 41069, 47994, 3690, 38502, 5449, 25087, 23007, 16883]",A,手拿包女2018新款冬天包包女呢子晚宴礼服手包小百搭个性时尚名媛,,A,手拿包女2018新款冬天包包女呢子晚宴礼服手包小百搭个性时尚名媛,
pog,BIxIB,480,C,1. 高端定制 头层牛皮 2019春季平底鞋真皮板鞋运动单鞋百搭小白鞋女,K家竖条纹阔腿裤女长裤2019春夏新款宽松薄款松紧坠感高腰直筒裤,,2,4,1,"[18614, 35529, 26039, 4347, 34262, 1649, 16426, 537, 20448, 36156]",B,MG小象垂感高腰阔腿裤女秋2018新款学生宽松韩版休闲黑色裤子潮,,B,MG小象垂感高腰阔腿裤女秋2018新款学生宽松韩版休闲黑色裤子潮,
pog_dense,BIxIB,11208,D,1. 秋水伊人2018春秋装新款女装方领雪纺碎花系带印花小香风连衣裙子; 2. 韩国露娜网红仿珍珠耳环 女式气质长款耳坠新款ins耳钉韩版耳饰品,Steve Madden/思美登2018凉拖女鞋平底一字毛绒拖鞋外穿女SOFTEY,,8,9,1,"[16366, 879, 15382, 12800, 17810, 8933, 9552, 21513, 5579, 29465]",C,MG小象小清新牛仔外套女宽松春季2019新款休闲短款夹克chic上衣潮,,C,MG小象小清新牛仔外套女宽松春季2019新款休闲短款夹克chic上衣潮,
pog_dense,BIxIB,23312,C,1. 【南风】复古流浪包包女2019新款时尚百搭简约女包单肩斜挎链条包; 2. 妙侣2018秋冬款复古平跟chic短靴女平底棉鞋学生后系带弹力马丁靴,稀有概率气质雾都蓝重工廓形风衣女长款过膝不对称设计感两穿外套,,4,10,1,"[9229, 3670, 27238, 30656, 17868, 2304, 15888, 13704, 238, 23020]",J,高腰锥形裤女长裤2018秋冬新款韩版宽松加厚松紧腰收脚烟管裤,,E,热风冬新款时尚女士休闲靴百搭简约圆头套筒短靴H84W7401,
pog_dense,BIxIB,25705,G,1. 小瑞靓包拼色菱格包包女2019新款简约百搭斜挎包单肩包小包包女包; 2. 【5折折扣】修身显瘦牛仔裤女直筒长裤灰色高腰薄绒小脚九分裤,ins女鞋港风 超火网红单鞋2019秋季休闲运动真皮老爹鞋女松糕鞋,,9,5,1,"[11883, 10160, 3579, 9610, 24965, 1288, 17003, 19669, 30629, 24976]",A,美伢Fuzzykon三条杠宽松LOGO刺绣休闲运动长袖外套女秋 百搭上衣,,D,【南风】信封包链条包斜跨包包女2018新款韩版百搭时尚单肩女包潮,
pog_dense,BIxIB,23040,E,1. 【满3件200元】sukol少女裙子两件套中长款超火学院沙滩连衣裙潮; 2. 2019新款女包韩版ins超火复古豆腐包box小方包百搭空姐单肩斜挎包,热风春新款小清新小白鞋女平底原宿鞋系带时尚女休闲鞋潮H14W7110,,2,8,1,"[8276, 7653, 31093, 276, 22455, 18828, 14035, 23788, 454, 21940]",F,S925银针韩国甜美气质爱心耳钉简约百搭耳环个性潮人网红耳坠女,,B,Marie Claire夏季镶钻凉鞋海边粗跟度假丁字丝缎水钻平底MC仙女鞋,
pog_dense,BIxIB,27603,D,1. 热风春新款小清新小白鞋女平底原宿鞋系带时尚女休闲鞋潮H14W7110; 2. XIAOYOUBAG迷你夏天小包包女2019新款上新链条斜挎小包女包百搭潮,S925纯银耳钉女韩国气质个性耳环女防过敏小清新少女心ins耳饰夹,,3,6,1,"[6290, 316, 23531, 3116, 13986, 3559, 27382, 1900, 30596, 20457]",C,三彩2018春秋装新品一字领蝴蝶结系带露背修身显瘦短款针织衫女,,J,ins超火包包女2019新款潮韩版百搭chic链条斜挎秋冬质感斜跨小包,
pog_dense,BIxIB,7158,H,1. 小瑞靓包拼色菱格包包女2019新款简约百搭斜挎包单肩包小包包女包; 2. 一力米灰2018秋冬季新款简约方头短筒显瘦弹力中跟粗跟马丁短靴女,明星私衣同款网红毛衣女2018新款韩版宽松软妹貂绒针织开衫外套,,2,3,1,"[9255, 22359, 22460, 19589, 11284, 26284, 18447, 17273, 3812, 1479]",F,KIZZME2019新款女包头层牛皮链条手拿包单肩多用斜挎多隔层信封包,,A,真皮豆腐包box包2018新款复古小方包迷你单肩斜挎空姐包简约女包,
pog_dense,BIxIB,23538,B,1. 韩国露娜网红仿珍珠耳环 女式气质长款耳坠新款ins耳钉韩版耳饰品; 2. 欧货蕾丝衬衫春夏2019款女士宽松黑色蝙蝠衫中袖韩版镂空洋气小衫,憨厚皇后 春季海宁真皮半身皮裙女中长款绵羊皮修身包臀裙韩版Z,,9,5,1,"[2425, 22013, 25422, 468, 29939, 26949, 17903, 2267, 2060, 27962]",G,bellas 破洞牛仔裤女2019春季新款百搭显瘦直筒裤韩版九分铅笔裤,,J,欧洲站2019春夏新款真皮单鞋厚底松糕鞋休闲系带英伦风布洛克女鞋,
pog_dense,BIxIB,19584,I,1. 【南风】黑色极简小方包2018新款时尚简约女包单肩包斜挎包小包包; 2. 张贝贝ibell秋冬季韩版2018新款女修身中长款毛衣打底针织连衣裙,2018新款平底短靴女切尔西女靴子冬季棉鞋百搭裸靴网红马丁靴瘦瘦,,3,4,1,"[2558, 10660, 27753, 4091, 23831, 27565, 1106, 21826, 21822, 15814]",J,韩国脖子饰品四叶草项链锁骨链短款黑色脖链颈链choker项圈女颈带,,B,菲大大polo领心机裙子设计感小香风连衣裙气质显瘦直筒遮肚小黑裙,
pog_dense,BIxIB,29651,C,1. 短靴女2019新款韩版冬季平底马丁靴女加绒英伦风厚底切尔西单靴女; 2. AI 法式复古贝雷帽 羊毛含量高达90% 秋冬女画家帽毛呢南瓜帽子,【南风】牛皮经典锁扣手提大包女2019新款秋冬包包单肩女包斜挎包,,2,3,1,"[23567, 15705, 26036, 6849, 15991, 11574, 12431, 29476, 2338, 29433]",I,原点范2018秋季新款单排扣涂层格子收腰风衣女中长款休闲外套022H,,E,韩都衣舍2019春装新款女装韩版系带短款印花字母连衣裙DU8149樱,
pog_dense,BIxIB,7466,H,1. AI 法式复古贝雷帽 羊毛含量高达90% 秋冬女画家帽毛呢南瓜帽子; 2. 棉服女2018新款韩版宽松中长款加厚羽绒棉衣学生冬季面包ins外套,冬季保暖雪地靴女2018新款韩版学生百搭厚底棉鞋女靴加厚加绒短靴,,2,2,1,"[28541, 8262, 5919, 19250, 4662, 19502, 21854, 15133, 21320, 7011]",C,LAOGUI老鬼原创中国风小众腔调设计师扇子包女士包手拿晚宴包,,E,白色毛呢裤女春季九分2019新款宽松羊毛阔腿哈伦裤休闲小脚萝卜裤,
pog_dense,BIxIB,2024,B,1. 沐鱼包包女2019新款潮韩版百搭斜挎包时尚单肩小包时尚手提包女包; 2. 韩国露娜网红仿珍珠耳环 女式气质长款耳坠新款ins耳钉韩版耳饰品,2018秋季新款女装韩版中长款长袖假两件木耳边修身显瘦黑色连衣裙,,2,8,1,"[25498, 6332, 11304, 10602, 15515, 9764, 17030, 14398, 21350, 14275]",H,高跟拖鞋女夏2019新款时尚百搭穆勒鞋铆钉尖头细跟半包头凉拖外穿,,G,LOSEA 马毛锁扣包包女2018新款时尚小方包女包百搭单肩斜挎小包女,
pog_dense,BIxIB,10658,C,1. 小立领衬衫女长袖雪纺百搭心机木耳边气质淑女设计感荷叶边上衣潮; 2. 啄木鸟新款潮流女手提包时尚女包大包十字纹休闲韩版单肩斜挎女包; 3. 韩国露娜网红仿珍珠耳环 女式气质长款耳坠新款ins耳钉韩版耳饰品,原创春夏性感包臀黑色显瘦OL高腰不规则荷叶边鱼尾半身裙中长款女,,3,2,1,"[11106, 3066, 30985, 6479, 18282, 23688, 5029, 22175, 14071, 12591]",A,LUKECSION社交女鞋秋真皮浅口单鞋女中跟裸色漆皮尖头高跟鞋细跟,,A,LUKECSION社交女鞋秋真皮浅口单鞋女中跟裸色漆皮尖头高跟鞋细跟,
pog_dense,BIxIB,19565,D,1. 斜挎包包女2019新款时尚ins超火包百搭单肩手提包韩版邮差包女潮; 2. 皮衣也可以很仙美羊皮棒球夹克外套春女2019新款春天家Z110,AI 法式复古贝雷帽 羊毛含量高达90% 秋冬女画家帽毛呢南瓜帽子,,3,5,1,"[10819, 3654, 10548, 30641, 28594, 1463, 5364, 8035, 19901, 22041]",E,裙子秋女2018新款ins超火的半身裙秋冬复古chic中长款针织包臀裙,,E,裙子秋女2018新款ins超火的半身裙秋冬复古chic中长款针织包臀裙,
pog_dense,BIxIB,23986,F,1. TAKIYA 夏装2017新款 凉快又好穿松紧腰纯色光板A字短裤女; 2. 勿上热风秋季学院风甜美女士系带休闲透气鞋圆头小白鞋H14W8501,全新配色GRKC恐龙龙骨T恤JONY J男女同款宽松情侣国潮短袖bf风,,2,6,1,"[5354, 17517, 26574, 16904, 10628, 4691, 29067, 23137, 19601, 1167]",G,古伊萱2019春季新款潮女式粉色珍珠花朵菱格纹单肩斜挎ins包包,,I,哈森春季女鞋韩版百搭休闲鞋女 平跟单鞋 小蜜蜂小白鞋女HS78202,
pog_dense,BIxIB,1479,C,1. 韩版2018冬季新款保暖加绒棉鞋厚底松糕鞋平底网红短筒雪地靴女潮; 2. 北山制包所经典豆腐包风琴方盒包单肩斜挎包复古包女2019新款女包,AI 法式复古贝雷帽 羊毛含量高达90% 秋冬女画家帽毛呢南瓜帽子,,2,2,1,"[27188, 9509, 30641, 16698, 15752, 20968, 28106, 18981, 1891, 627]",A,黑色牛仔裤女2019春秋新款韩版高腰显瘦弹力百搭紧身九分小脚裤子,,A,黑色牛仔裤女2019春秋新款韩版高腰显瘦弹力百搭紧身九分小脚裤子,
pog_dense,BIxIB,2766,B,1. 韩国露娜网红仿珍珠耳环 女式气质长款耳坠新款ins耳钉韩版耳饰品; 2. 高街毛边设计绑带牛仔短裤女春夏chic高腰性感超火的裤子潮女,网红2019新款裸色小清新高跟鞋细跟性感一字带扣细带透明凉鞋女夏,,3,2,1,"[9802, 3399, 17220, 25586, 14590, 15814, 27382, 7355, 10559, 8556]",C,立领透视纱长袖拼接蕾丝木耳边气质连衣裙,,F,韩国脖子饰品四叶草项链锁骨链短款黑色脖链颈链choker项圈女颈带,
pog_dense,BIxIB,7997,J,1. 2019春秋流苏牛仔阔腿裤女九分裤宽松大码高腰牛仔裤毛边直筒裤子; 2. ins小白鞋女春季百搭基础皮面学生鞋子平底单鞋真皮板鞋女鞋休闲,韩都衣舍旗舰店外套女2018女装秋装字母印花高领套头宽松卫衣女,,2,7,1,"[28829, 6757, 20042, 9791, 25027, 9837, 1958, 28245, 22830, 28238]",F,小象包袋可爱少女心斜挎包女学院风原宿包包女2017新款潮韩版学生,,H,2件包邮 韩版新款时尚复古几何形亚克力方形彩色大耳环耳钉女,
pog_dense,BIxIB,20308,B,1. 黑眼袋袋包包女士2019夏季新款单肩女包百搭ins斜挎包时尚小包潮; 2. 帽子秋冬季女韩版贝雷帽毛线帽画家帽英伦南瓜帽针织帽潮时尚百搭,乐福鞋女欧洲站2018春季新款平跟真皮平底单鞋方扣一脚蹬懒人鞋子,,6,3,1,"[18974, 15533, 1897, 20013, 16147, 30866, 3040, 5920, 11793, 3431]",J,2018秋季新款韩版加绒乐福鞋女英伦风百搭平底豆豆鞋单鞋网红女鞋,,G,韩版冬季新款毛毛拖鞋百搭复古尖头金属扣一字中跟懒人穆勒鞋半拖,
pog_dense,BIxIB,11578,E,1. FFAN泛泛 MUST HAVE系列 直筒牛仔裤女宽松高腰百搭复古chic裤子; 2. 雾霾蓝双面羊绒大衣女2018冬新款韩版手工中长款系带羊毛呢子外套,黑色高帮帆布鞋女学生韩版复古ulzzang布鞋港味板鞋2019潮鞋春季,,2,4,1,"[25673, 18370, 22830, 20446, 30578, 1041, 1578, 16785, 29464, 22520]",B,热风冬款小清新粗跟女士长筒靴圆头过膝长靴中跟青年H85W7803,,I,guou手表女方形款时尚潮流个性防水石英表玫瑰金皮带休闲装饰女表,
pog_dense,BIxIB,2859,J,1. 妙侣2018秋冬款复古平跟chic短靴女平底棉鞋学生后系带弹力马丁靴; 2. MG小象毛呢外套女装2018冬新款韩版学生中长款矮个子呢子大衣,gshero高腰直筒牛仔裤女春夏卷边小脚裤宽松显瘦九分萝卜老爹裤潮,,2,3,1,"[26042, 578, 9864, 12654, 24035, 15993, 19135, 300, 2653, 1516]",D,大毛领棉服女中长款2018新款韩版学生宽松百搭冬季chic工装外套潮,,D,大毛领棉服女中长款2018新款韩版学生宽松百搭冬季chic工装外套潮,
pog_dense,BIxIB,20550,B,1. 刺绣花温柔仙女裙网纱sukol裙子V领连衣裙; 2. 施华洛世奇 ADMIRATION 浪漫心形项链锁骨链女首饰 送女友礼物; 3. 人本女鞋平底休闲鞋子百搭基础小白鞋透气皮面运动白色板鞋ins潮,ELLE女包新款牛皮单肩包62116休闲时尚潮流斜挎包手拿包女士包包,,2,4,1,"[21810, 28223, 15502, 1598, 10805, 12159, 17928, 13506, 28639, 22419]",E,法国小众轻奢女表小表盘手链手表女士森女小巧品牌金表2019年新款,,E,法国小众轻奢女表小表盘手链手表女士森女小巧品牌金表2019年新款,
pog_dense,BIxIB,7059,C,1. 韩都衣舍2018韩版女装春装新款蕾丝纯色百搭连衣裙MY5216沐; 2. 勿上热风秋季学院风甜美女士系带休闲透气鞋圆头小白鞋H14W8501,锁扣小方包包女2019新款百搭时尚豆腐包box单肩斜挎小包/高质版,,2,2,1,"[11400, 15856, 1475, 18627, 13647, 26321, 28394, 8875, 9381, 14554]",J,红色阔腿裤女雪纺休闲裤夏坠感裤子夏季直筒裤高腰宽松条纹运动裤,,I,维维米2018新款包包小猪包明星同款真皮女包单肩斜挎包女士链条包,
pog_dense,BIxIB,1209,J,1. 热风春新款小清新小白鞋女平底原宿鞋系带时尚女休闲鞋潮H14W7110; 2. MG小象雪纺衫女夏装新款白色小清新露肩上衣娃娃领气质甜美小衫潮,夏天小清新平顶草帽太阳帽韩版百搭遮阳帽蝴蝶结英伦防晒小礼帽,,2,7,1,"[13856, 16712, 28592, 29131, 25606, 8598, 28671, 16684, 10623, 11784]",H,韩都衣舍2019韩版女装夏装新款宽松磨破显瘦牛仔短裤NG5191茵,,H,韩都衣舍2019韩版女装夏装新款宽松磨破显瘦牛仔短裤NG5191茵,
pog_dense,BIxIB,1265,D,1. 韩都衣舍2019夏装新款女装韩版衬衣竖条纹印花长袖衬衫JM7971蒖; 2. 勿上热风秋季学院风甜美女士系带休闲透气鞋圆头小白鞋H14W8501,韩都衣舍翻边浅色高腰牛仔裤MM8615煜,,3,3,1,"[27703, 2137, 25879, 23371, 5401, 12095, 27066, 6917, 22661, 15413]",E,稻草人女包水桶包包女2019新款韩版时尚手提单肩斜挎包秋冬小包包,,E,稻草人女包水桶包包女2019新款韩版时尚手提单肩斜挎包秋冬小包包,
pog_dense,BIxIB,19356,G,1. ins小白鞋女春季百搭基础皮面学生鞋子平底单鞋真皮板鞋女鞋休闲; 2. 晶咕家微胖大码女装2018新款宽松假两件吊带裙中长款缎面连衣裙夏,MYTASTE迷你风琴小方包链条包女2018新款百搭简约牛皮单肩斜跨包,,3,2,1,"[22987, 5309, 18774, 1652, 20210, 6590, 26128, 29328, 19627, 17523]",C,Titlee新款小红心冷淡风耳钉首饰网红文艺礼物简约小众设计耳饰,,B,LOSEA 翻绒铆钉小方包女2018新款宽肩带女包时尚小挎包单肩斜挎包,
pog_dense,BIxIB,9622,A,1. 2019夏季新款女装运动polo领连衣裙短袖t恤小清新休闲荷叶边裙子; 2. 勿上热风秋季学院风甜美女士系带休闲透气鞋圆头小白鞋H14W8501,Danielwellington 丹尼尔惠灵顿dw手表女32mm金属编织女表,,3,2,1,"[30967, 5989, 8113, 28403, 3904, 12598, 21331, 5129, 9316, 26248]",E,手表女学生简约ins风学院森女系森百搭复古防水气质轻奢小众女表,,J,卡通亮片招财猫刺绣螺纹翻领polo裙T恤裙连衣裙,
pog_dense,BIxIB,5154,J,1. 【南风】真皮绣线链条包包女2019新款秋冬时尚女包单肩包斜挎包女; 2. 2019新款春季高跟鞋女细跟百搭法式少女网红性感绒面黑色单鞋,复古少女心金箔亚克力耳环女韩国气质长款个性纯银耳坠耳饰R014,,2,2,1,"[18505, 5103, 22549, 21252, 12326, 28747, 3440, 16974, 4287, 30318]",B,性感一字肩长裙2019夏装新款气质名媛超仙亮丝吊带挂脖连衣裙女夏,,B,性感一字肩长裙2019夏装新款气质名媛超仙亮丝吊带挂脖连衣裙女夏,
